t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [s]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	Integrated Spri [a.u.]
1.2764	2.10862970756743E19	2.10862970756743	4.47442916728566	8.6319	0.176338687596085	2.21028923906784	0.0797808198489233	2.4980162920914E18	4.654410740228E21
1.27745	2.11000477081774E19	2.11000477081774	4.47001738018462	8.7207	0.176862798983433	2.21391351443995	0.0798869503392388	2.45502725643749E18	4.65441334057586E21
1.2785	2.11143732986051E19	2.11143732986051	4.46526162820165	8.8094	0.176392811089827	2.21777616282934	0.0795358945804489	2.27668202627329E18	4.65441582472323E21
1.27955	2.11292612736955E19	2.11292612736955	4.46060634781925	8.8982	0.175200524641355	2.22165613950071	0.0788603247488737	2.02240309086872E18	4.65441808174292E21
1.2806	2.11446990601871E19	2.11446990601871	4.45761939679405	8.9869	0.174801415312792	2.22476912990362	0.0785705864771529	1.88541152006774E18	4.65442013334559E21
1.2813	2.11606740848179E19	2.11606740848179	4.45643192523136	9.0228	0.175072083173072	2.2270432297063	0.0786118925927454	1.87489837006612E18	4.65442144945405E21
1.28235	2.11771737743264E19	2.11771737743264	4.45710681534173	9.0586	0.175198493483668	2.2284422509139	0.078619265727805	1.85325770794822E18	4.65442340673599E21
1.2834	2.11941855554507E19	2.11941855554507	4.45961460184854	9.0945	0.1754981216973	2.22897824285385	0.078734784540832	1.85543498414848E18	4.65442535379966E21
1.28445	2.12116968549291E19	2.12116968549291	4.46375293082706	9.1304	0.176335818464683	2.22875170949835	0.0791186464213067	1.9220056899292E18	4.65442733695601E21
1.2855	2.12296950994999E19	2.12296950994999	4.46877711528435	9.1663	0.176356599134879	2.22813493696521	0.0791498738290429	1.89904943274702E18	4.65442934300995E21
1.28655	2.12387690052641E19	2.12387690052641	4.47364945717873	9.2021	0.175427297619414	2.22665953296763	0.0787849669076304	1.77784826288312E18	4.65443127338124E21
1.2876	2.12474802612956E19	2.12474802612956	4.47779364285943	9.238	0.17537928764033	2.22551120320975	0.078804046183811	1.75212098266539E18	4.65443312661509E21
1.2883	2.12558017023275E19	2.12558017023275	4.48112216202203	9.2739	0.175379133708778	2.22472908242612	0.0788316811670042	1.72991225239047E18	4.65443434532673E21
