t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [1]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
0.13253	7.974E19	7.974	3.3432686564773	11.092	0.528505744409269	11.186426678163	0.0472452696124103	6.02936392361398E17	6.54899913892632E19
0.1336	7.974E19	7.974	3.35210519139292	11.011	0.52981718482127	11.1569379705364	0.0474876875913831	6.77190348539955E17	6.54910647705041E19
0.13432	7.974E19	7.974	3.36037449803233	10.931	0.529137913632311	11.1294826552764	0.0475438014525728	7.13796997985548E17	6.54921420338637E19
0.13539	7.974E19	7.974	3.36807286709254	10.85	0.530129846088626	11.1040441127298	0.0477420515180484	7.90360482508013E17	6.54928399055341E19
0.13647	7.974E19	7.974	3.37519300988351	10.77	0.532205781123877	11.080619562072	0.048030327017595	9.01356740057302E17	6.54938352673493E19
0.13754	7.974E19	7.974	3.38173438518609	10.689	0.53148438938906	11.0591860362876	0.0480581832736281	9.43800185985754E17	6.5494823186873E19
0.13862	7.974E19	7.974	3.38770276377152	10.609	0.529969261008776	11.0397022109009	0.0480057569383953	9.62765572322375E17	6.54957866768759E19
0.13933	7.974E19	7.974	3.39311009877687	10.529	0.530393451473477	11.0221090982474	0.048120867498745	1.03879510782131E18	6.54966658475982E19
0.140405	7.974E19	7.974	3.39813998933874	10.448	0.528415904628303	11.0057942899408	0.0480125187430835	1.04273189460139E18	6.54972335917379E19
0.14148	7.974E19	7.974	3.40281220160851	10.368	0.52476827099127	10.9906828456196	0.0477466485351653	9.9363262180893E17	6.54980610551072E19
0.142555	7.974E19	7.974	3.40714473447345	10.287	0.523070989164899	10.9767070687308	0.047652814809549	1.00335573334341E18	6.54988253537136E19
0.14363	7.974E19	7.974	3.41105066662006	10.207	0.52103470838703	10.9641378408905	0.0475217218123475	1.00085516809848E18	6.54995162084026E19
0.14435	7.974E19	7.974	3.41447355570509	10.126	0.516984978676415	10.9531466801361	0.0471996763828594	9.37677249666957E17	6.55001626404113E19
