time	neMax	n	TeMax	Ell	Zeff	ED	Ell/ED	a	b	c	d	Spri	Integrated Spri
1.20755	2.44221097669887E19	2.44221097669887	3.20631055348253	0.248816945954111	20	3.57243240571877	0.0696491683245857	13788619580260.9	35976.466522142	7.94352034180617E-10	0.299826224446127	118146789.337929	998817582.786038
1.2086	2.44004642550726E19	2.44004642550726	3.20762174227131	0.248250183468709	20	3.5678071109946	0.0695806067272241	13755749705386.3	36116.2514229223	7.84806426330315E-10	0.299121289941389	116626383.385178	998891953.29741
1.2093	2.43792073183844E19	2.43792073183844	3.20779407484438	0.247750992778212	20	3.56450744017613	0.0695049728290005	13730686413518.4	36271.2464954455	7.74391543051532E-10	0.298486695013348	115117224.005454	998940905.855468
1.21035	2.43583554140728E19	2.43583554140728	3.20750790593622	0.247074713229576	20	3.56177641096298	0.0693683950708112	13709042776253.8	36553.251651188	7.5588758775883E-10	0.297406786504969	112652604.330782	999017930.070313
1.2114	2.43379249992868E19	2.43379249992868	3.20688299849403	0.246288664854563	20	3.55948247518754	0.0691922678567441	13690056259701.1	36920.9898961565	7.32591607090074E-10	0.296040641882138	109620516.854499	999086795.384251
1.21245	2.43179325311753E19	2.43179325311753	3.20603809303261	0.245195886573002	20	3.55749580676935	0.0689237317178092	13672977210819.9	37490.6453077662	6.98270311388495E-10	0.293940636981244	105212953.972625	999154808.484276
1.2135	2.42983944668871E19	2.42983944668871	3.20570699914652	0.244688147473394	20	3.5550046952479	0.0688292051485831	13653130054719.9	37693.7876876392	6.86525202555573E-10	0.29320378430313	103592440.239037	999220611.630414
1.21455	2.42793272635711E19	2.42793272635711	3.20625521571575	0.244217932283277	20	3.55160767604847	0.0687626434446144	13628214909145.2	37837.6607919792	6.78357885599617E-10	0.292596836429583	102350921.49162	999262345.618489
1.2156	2.42711960748603E19	2.42711960748603	3.20718308122074	0.243074396686873	20	3.54939107012043	0.0684834079662645	13613178461543.3	38448.7857203474	6.45005750269604E-10	0.290200981628688	97972599.2190553	999320949.958138
1.2164	2.42626011895227E19	2.42626011895227	3.20845280032858	0.24170606386193	20	3.54673001898634	0.0681489886650605	13595464369639.4	39197.0652968761	6.06941649703742E-10	0.28730645310214	92926572.6980161	999375391.443864
1.21745	2.42535768164852E19	2.42535768164852	3.21002807960408	0.240160479400539	20	3.54367096361904	0.0677716644310766	13575353674137.4	40063.4091537759	5.66348207710959E-10	0.284015167706533	87483091.074967	999426228.897001
1.2185	2.42441571646746E19	2.42441571646746	3.21227952688473	0.24022330490495	20	3.53981191488897	0.0678632963221959	13550552261848.9	39850.8309240038	5.75982967034229E-10	0.28452195272932	88495216.9149375	999480328.140492
1.21955	2.42343764430177E19	2.42343764430177	3.21530922519437	0.239793500175048	20	3.5350497402329	0.0678331332784159	13520488663313.8	39920.6501229936	5.72795845555742E-10	0.283935657892048	87782872.8191263	999513077.092887
1.2206	2.42242688604412E19	2.42242688604412	3.21870047480476	0.238680305570776	20	3.52985235057833	0.0676176456875515	13487868362102.1	40423.9335346399	5.50468729516698E-10	0.281777134330915	84570771.2026733	999561875.837596
1.2213	2.42138686258719E19	2.42138686258719	3.22232117367077	0.237254551519722	20	3.5243723273208	0.0673182426500553	13453582146487.1	41136.4885873878	5.20703083516545E-10	0.278895452723881	80370512.0395918	999611604.168468
1.22235	2.42032099482368E19	2.42032099482368	3.22603979359101	0.235932809634877	20	3.518760221314	0.0670499820379274	13418505999939.7	41788.352861528	4.95231241769776E-10	0.276257540555659	76715230.3596572	999662650.960547
1.2234	2.41923270364624E19	2.41923270364624	3.22933820343199	0.235069168599615	20	3.51358561353033	0.0669029289323122	13385906980807.7	42151.1857608205	4.81733249762124E-10	0.274671712817447	74658310.4857206	999715848.12964
1.2245	2.41812540994758E19	2.41812540994758	3.23210423683145	0.23391074970077	20	3.50897188082254	0.0666607649320744	13356492125124.6	42757.3441874722	4.60201355023233E-10	0.272351574827543	71578223.9455172	999771442.168209
1.2256	2.41700253462035E19	2.41700253462035	3.23527978992074	0.233288592930136	20	3.50389986926279	0.0665796973756616	13324448828275.8	42962.7029043121	4.5318270951517E-10	0.271328075925747	70389667.918368	999828599.912832
1.2263	2.41576291140129E19	2.41576291140129	3.23890382145011	0.232417607160685	20	3.49818427554408	0.0664394979948665	13288450705093.3	43320.7809426073	4.41264076053121E-10	0.269762728116972	68525331.325158	999867729.545371
1.22735	2.41450537402711E19	2.41450537402711	3.24301685440389	0.232091692104634	20	3.49192893279837	0.0664651820157862	13249373800767.6	43254.9031314423	4.43426902367321E-10	0.269528469258231	68494764.8997269	999931428.26493
1.2284	2.41323318101328E19	2.41323318101328	3.24716216796437	0.232108474423241	20	3.48563361671914	0.0665900378369984	13210079074191.7	42936.439938809	4.54072752018746E-10	0.270117410514471	69567992.0949784	999998529.786875
1.22945	2.41194959087528E19	2.41194959087528	3.25108261777634	0.232030575435944	20	3.47957856367796	0.0666835282462152	13172167768984.2	42699.902067732	4.6218906552283E-10	0.270468841104244	70310638.1036883	1000066039.49393
1.2305	2.41065786212859E19	2.41065786212859	3.25415730252637	0.231868831678365	20	3.47442914928533	0.0667358065787753	13139418585614.1	42568.3461038334	4.66782328439537E-10	0.270569213221844	70640816.453971	1000137303.06481
1.23155	2.40936125328869E19	2.40936125328869	3.25641493566832	0.231532033358837	20	3.47015289078383	0.0667209891453914	13111640876924.8	42605.5818024758	4.65476431462763E-10	0.270200794586922	70259954.42979	1000187649.77066
1.2326	2.40806302287105E19	2.40806302287105	3.25788724930746	0.231700309497428	20	3.46671568020294	0.0668356827819997	13088637259032.4	42318.4222844787	4.75668047310451E-10	0.270993675962204	71398162.4704737	1000265640.79224
