t	n	neMax	TeMax	Ell	Zeff	ED	EllED	10	20	30	40	Spri	intSpri
0.49457	11.1295087343575	1.11295087343575E20	1.56135045454645	0.199761578226073	1.5308	33.4319744672782	0.00597516543396476	132307517091011	132307517091011	7.78446825133908E-28	2.02774502981875E-8	2.76319373932094E-7	9.90760362531216E16
0.49529	11.1294644712099	1.11294644712099E20	1.55956820391066	0.200649190135133	1.5371	33.4700469010108	0.00599488822733239	132776054789884	132776054789884	9.0079291773129E-28	2.27782042429752E-8	3.61729531716358E-7	9.90760362531216E16
0.49637	11.1295963873267	1.11295963873267E20	1.55768398192786	0.19993999278654	1.5435	33.5109304851097	0.00596641125424378	133267230705323	133267230705323	6.84855232666021E-28	1.98216468217634E-8	2.41093364906201E-7	9.90760362531216E16
0.49745	11.1298956616761	1.11298956616761E20	1.55571883948575	0.200705619677956	1.5499	33.5541628421801	0.00598154156376847	133774516993892	133774516993892	7.61583241857988E-28	2.17801781709063E-8	2.96842165001491E-7	9.90760362531216E16
0.498535	11.1303534732264	1.11303534732264E20	1.55373406256789	0.202921882502141	1.5563	33.5984076926277	0.00603962795971034	134289966728252	134289966728252	1.22552366609767E-27	2.99312934100777E-8	6.6150680934595E-7	9.90760362531216E16
0.49962	11.1309610009457	1.11309610009457E20	1.55185046310417	0.203466362409212	1.5626	33.6410247735931	0.00604816184342056	134793832240328	134793832240328	1.2852782504026E-27	3.16700131224025E-8	7.3958048492297E-7	9.90760362531216E16
0.50034	11.1317094238023	1.11317094238023E20	1.55012435438605	0.204421947760261	1.569	33.6807495085513	0.00606940019872064	135286136274287	135286136274287	1.50083148273594E-27	3.56784605202878E-8	9.80041859011688E-7	9.90760362531216E16
0.50142	11.1325899207643	1.11325899207643E20	1.54856085151482	0.204941470770559	1.5734	33.7174220154252	0.00607820700754647	135683941964873	135683941964873	1.58885298411542E-27	3.77373466902325E-8	1.1038548765682E-6	9.90760362531216E16
0.5025	11.1335936708	1.11335936708E20	1.54716141764075	0.205514275189919	1.5723	33.7509628191376	0.00608913814670162	135849654126337	135849654126337	1.75018402325925E-27	4.05563464140819E-8	1.30996476121158E-6	9.90760362531216E16
0.50358	11.1347118528775	1.11347118528775E20	1.54593068270836	0.204465034260106	1.5713	33.7812248014075	0.00605262347538054	136000159317256	136000159317256	1.28934480240745E-27	3.42071968129867E-8	8.15765612960332E-7	9.90760362531216E16
0.50466	11.135935645965	1.1135935645965E20	1.54487232521959	0.204569324772362	1.5702	33.8080829311491	0.00605089987471256	136126829249489	136126829249489	1.27614408667597E-27	3.43589822930789E-8	8.12507655442309E-7	9.90760362531216E16
0.50538	11.1372562290308	1.11372562290308E20	1.54399435805051	0.204882114846668	1.5691	33.8313188419338	0.00605598959366364	136232186251075	136232186251075	1.3386189531547E-27	3.56616875855554E-8	8.85968565585647E-7	9.90760362531216E16
0.50647	11.1385658472469	1.11385658472469E20	1.5432997265919	0.202897569005665	1.568	33.8505261283617	0.0059939266006169	136313111524104	136313111524104	7.88417332691191E-28	2.61115719930159E-8	3.82529069645056E-7	9.90760362531216E16
0.50755	11.1399459349745	1.11399459349745E20	1.54275837723735	0.201228513205941	1.5669	33.8665997888399	0.00594179854076323	136375507439607	136375507439607	5.01681974066301E-28	1.99499511469499E-8	1.86141449867783E-7	9.90760362531216E16
0.50863	11.1413875175817	1.11413875175817E20	1.54230132139934	0.200541300412686	1.5659	33.8810199029442	0.00591898652954244	136432186164441	136432186164441	4.11517297294288E-28	1.77538072521756E-8	1.3599197206351E-7	9.90760362531216E16
0.50971	11.1428816204367	1.11428816204367E20	1.54180447107821	0.199010980986716	1.5648	33.8964831848476	0.00587113948964705	136491532451039	136491532451039	2.69199741412293E-28	1.37499490253441E-8	6.89583952146744E-8	9.90760362531216E16
0.51043	11.1444192689076	1.11444192689076E20	1.54122488540339	0.198188567010341	1.5637	33.9139093977373	0.00584387263308439	136562969975436	136562969975436	2.11148917416078E-28	1.19046179585688E-8	4.68781245158288E-8	9.90760362531216E16
0.51151	11.1459914883626	1.11459914883626E20	1.54056621171793	0.198591244858421	1.5626	33.9331959037863	0.00585241795148044	136645824351041	136645824351041	2.29250566674941E-28	1.26068405273095E-8	5.39646552561588E-8	9.90760362531216E16
